IDnumb,Title,Author,Publisher,Year,Edition,Volume,subjects,Donor,Comment,Relevance 
539.6,Scintillation Counters In High Energy Physics,Yu. K. Akimov,Academic Press,1965,,,Counters And Chambers; Radiation Detectors; High Energy Physics; Particle Physics; Nuclear Physics,Ex-Libris,,Y
539.6,Neutron Detection,W. D. Allen,George Newnes Ltd.,1960,1,,Counters And Chambers; Radiation Detectors; Particle Physics; Particle Detectors,Ex-Libris,,Y
539.6,Nuclear Instruments And Their Uses,Arthur H. Snell; Et Al.,John Wiley & Sons,1962,,1,Counters And Chambers; Nuclear Physics; Radiation Detectors; Particle Detectors,Ex-Libris,,Y
539.6,Ionization Chambers And Counters: Experimental Techniques,Bruno B. Rossi; Hans H. Staub,Mcgraw-Hill Publishing Co.,1949,1,,Counters And Chambers; Nuclear Physics; Radiation; Radiation Detectors,Ex-Libris,,Y
539.6,Semiconductor Counters For Nuclear Radiations,G. Dearnaley; D. C. Northrop,E. And F. N. Spon Ltd.,1964,,,Counters And Chambers; Nuclear Physics; Radiation; Radiation Detectors,Ex-Libris,,Y
539.6,Organic Scintillation Detectors,E. Schram; R. Lombaert,Elsevier Publishing Co.,1963,,,Counters And Chambers; Nuclear Physics; Radiation; Radiation Detectors; Scintillation Detectors,Ex-Libris,,Y
539.6,Spark Chambers,Otto Claus Allkofer,Verlag Karl Thiemig Kg.,1969,,,Counters And Chambers; Nuclear Physics; Radiation Detectors; Particle Detectors,Ex-Libris,,Y
539.6,Counting Tubes: Theory And Applications,S. C. Curran; J. D. Craggs,Butterworths Scientific Publications,1949,,,Counters And Chambers; Nuclear Physics; Radiation Detectors; Electronics; Atomic Physics; Cosmic Ray Physics,Ex-Libris,,Y
539.6,The Principles Of Cloud-Chamber Techniques,J. G. Wilson,Cambridge University Press,1951,,,Counters And Chambers; Nuclear Physics; Radiation Detectors; Radiation,Ex-Libris,,Y
539.6,Electrical Counting,W. B. Lewis,Cambridge University Press,1942,,,Counters And Chambers; Nuclear Physics; Electronics; Radiation Detectors,Ex-Libris,,Y
539.6,Scintillation Counters,J. B. Birks,Pergamon Press,1954,,,Counters And Chambers; Nuclear Physics; Radiation Detectors; Scintillation Detectors,Ex-Libris,,Y
539.6,Advances In Fast-Pulse Techniques For Nuclear Counting,Multiple Authors,Lawrence Radiation Laboratory,1959,,,Counters And Chambers; Nuclear Physics; Electronics; Radiation Detectors,,,Y
539.6,Bubble And Spark Chambers,R. P. Shutt,Academic Press,1967,,2,Counters And Chambers; Nuclear Physics; Radiation Detectors,Ex-Libris,,
539.6,Introduction To Quantum Mechanics,Linus Pauling; E. Bright Wilson,Mcgraw-Hill Publishing Co.,1935,1,,Counters And Chambers; Classical Mechanics; Quantum Mechanics; Wave Mechanics; Atomic Physicsm; Chemistry,Ex-Libris,,Y
539.6,Cloud and Bubble Chambers (Monographs on Physical Subjects), Cyril Henderson, Methuen young books,1970, First Edition,,Counters And Chambers; Particle Physics; Nuclear Physics; Radiation Detectors,Ex-Libris,,Y
539.6,Nuclear Radiation Detection,William J. Prince,Mcgraw-Hill Publishing Co.,1958,,,Counters And Chambers; Nuclear Physics; Radiation Detectors; Scintillation Detectors,Ex-Libris,,Y
539.6,Charged Particle Tracks In Solids And Liquids: Conference Proceedings,Multiple Authors,The Institue Of Physics And The Physical Society,1970,,,Counters And Chambers; Nuclear Physics; Radiation Detectors; Particle Physics,Ex-Libris,,Y
539.7,Neutron Diffraction,G. E. Bacon,Oxford University Press,1955,,,X-Rays And Particle Diffraction; Nuclear Physics; Optics; Material Physics; Particle Physics,Ex-Libris,,Y
539.7,X-Ray And Neutron Diffration,G. E. Bacon,Pergamon Press,1966,,,X-Rays And Particle Diffraction; Crystalography; Optics; Particle Scattering,,,Y
539.7,Radiological Physics,M. E. J. Young,H. K. Lewis And Co.,1957,,,X-Rays And Particle Diffraction; Electromagnetic Radiation; Radiation Detectors; Crystalography,Ex-Libris,,Y
539.7,Magnetoelectric Interaction Phenomena In Crystals,Arthur J. Freeman ; Hans Schmid,Gordon And Breach Science Publishers,1975,,,X-Rays And Particle Diffraction; Crystalography; Electromagnetic Radiation,Dr. O'Mongain,,Y
539.7,Elements Of X-Ray Diffraction,B. D. Cullity,Addison-Weslley Publishing Co.,1956,,,X-Rays And Particle Diffraction; Electromagnetic Radiation; Crystalography; Optics; Chemistry,Dr. L. Jacob,,Y
539.7,Multichannel Pulse Height Analysis,H. W. Koch; R. W Johnston; Et Al.,National Academy Of Sciences Washington,1957,,,X-Rays And Particle Diffraction; Electronics; Radiation Detectors,,,Y
539.7,X-Ray Determination Of Electron Distributions,Richard J. Weiss,North-Holland Publishing Co.,1966,,,X-Rays And Particle Diffraction; Particle Physics; Electromagnetic Radiation; Crystalography,Ex-Libris,,Y
539.7,Elements of X-Ray Diffraction (Addison-Wesley series in metallurgy and materials), Bernard Dennis Cullity, Addison-Wesley,1978, 2nd,,X-Rays And Particle Diffraction; Electromagnetic Radiation; Crystalography; Radiation Detectors; Optics,,,Y
539.7,Proceedings Of The 1960 Annual International Conference On High Energy Physics At Rochester,E. C. G. Sudarshan; J. H. Tinlot; A. C. Melissinos,University Of Rochester,1960,,,X-Rays And Particle Diffraction; Nuclear Physics; Particle Physics; Particle Accelerator Physics,Ex-Libris,,Y
539.7,Neutron Optics,D. J. Hughes,Interscience Publishers,1954,,,X-Rays And Particle Diffraction; Particle Physics; Optics; Crystalography,Ex-Libris,,
539.7,Diffraction Of X-Rays By Chain Molecules,B. K. Vainshtein,Elsevier Publishing Co.,1966,,,X-Rays And Particle Diffraction; Electromagnetic Radiation; Crystalography; Chemistry,L. Jacob,,Y
539.7,X-Ray Optics: The Diffraction Of X-Rays By Fine Imperfect Crystals,A. J. C. Wilson,Meuthuen And Co.,1962,2,,X-Rays And Particle Diffraction; Crystalography; Radiation Detectors; Optics; Electromagnetic Radiation,Ex-Libris,,Y
539.7,1962 International Conference On High-Energy Physics At Cern,J. Prentki,Cern Scientific Information Service,1962,,,X-Rays And Particle Diffraction; Particle Physics; Quantum Mechanics; Theoretical Physics; Particle Accelerator Physics,Ex-Libris,,Y
539.7,Electron Diffraction,R. Beeching,Meuthuen And Co.,1946,2,,X-Rays And Particle Diffraction; Crystalography; Particle ; Particle Physics; Wave Mechanics; Radiation Detectors,Ex-Libris,,Y
539.3,Electronics,P. Parker,Edward Arnold Publishers Ltd.,1963,1,,Unknown; Electronics; Valve Circuits; Oscillator Circuits; Electrical Noise; Electrical Components,,,Y
539.3,Electronics: Experimental Techniques,William C. Elmore; Matthew Sands,Mcgraw-Hill Publishing Co.,1949,1,,Unknown; Electronics; Electrical Components; Amplifier Circuits,Ex-Libris,,Y
539.3,Physical Electronics,Robert L. Ramey,Prentice-Hall,1961,,,Unknown; Valve Circuits; Chemistry; Quantum Mechanics; Semiconductor Electronics,Ex-Libris,,Y
539.3,An Introduction To The Theory And Practice Of Semiconductors,A. A. Shepherd,Constable And Co.,1958,1,,Unknown; Electronics; Semiconductor Electronics; Quantum Mechanics; Crystalography,Ex-Libris,,Y
539.3,Elements Of Pulse Circuits,F. J. M. Farley,Meuthuen And Co.,1956,1,,Unknown; Valve Circuits; Electronics; Wave Generator Circuits; Amplifier Circuits,Ex-Libris,,Y
539.3,Thermionic Valve Circuits,Emerys Williams,Sir Isaac Pitman And Sons Ltd.,1947,2,,Unknown; Electronics; Valve Circuits; Amplifier Circuits; Electrical Components,,,Y
538.3,Electrodynamics Of Particles And Plasmas,P. C. Clemmow; J. P. Dougherty,Addison-Weslley Publishing Co.,1969,,,Plasma Physics And Magnetohydrodynamics; Plasma Physics; Chemistry,Ex-Libris,,Y
539.3,Theory And Design Of Electron Beams,J. R. Pierce,D. Van Nostrand Co.,1949,,,Unknown; Electronics; Valve Circuits; Chemistry; Electron Tubes,L. Jacob,,Y
539.3,Millimicrosecond Pulse Techniques,I. A. D. Lewis; F. H. Wells,Pergamon Press,1959,2,,Unknown; Electronics; Transformer Circuits; Amplifier Circuits; Pulse Circuits; Cathode Ray Tubes; Oscilloscope Technique,Ex-Libris,,Y
539.3,Microwave Electronics,John C. Slater,D. Van Nostrand Co.,1950,,,Unknown; Electronics; Wave Generator Circuits; Electrical Components; Valve Circuits,Ex-Libris,,Y
538.5,Theory Of Crystal Dislocations,F. R. N. Nabarro,Oxford University Press,1967,,,Solid State Physics; Crystalography; Material Physics; Optics,Ex-Libris,,Y
538.5,Physics Of III-V Compounds,Otfried Madelung,John Wiley & Sons,1964,,,Solid State Physics; Material Physics; Optics; Crystalography,Ex-Libris,,Y
538.5,Quantum Theory Of Solids,R. E. Peierls,Oxford University Press,1955,,,Solid State Physics; Quantum Mechanics; Crystalography; Optics,Ex-Libris,,Y
538.5,Introduction To Solid State Physics,Charles Kittel,John Wiley & Sons,1953,2,,Solid State Physics; Crystalography; Electromagnetic Radiation; Optics; Material Physics,Ex-Libris,,Y
538.5,The Electrical And Magnetic Properties Of Solids,N. Cusack,Longmans Green And Co.,1958,,,Solid State Physics; Material Physics; Crystalography; Electricity; Semiconductor Theory; Superconductivity,Ex-Libris,,Y
539,Modern Physics,John C. Slater,Mcgraw-Hill Publishing Co.,1955,,,Progress Reports In Atomic Physics; Quantum Mechanics; Atomic Physics; Nuclear Physics; Wave Mechanics,Ex-Libris,,Y
538.5,Radiation Effects In Solids,G. J. Dienes; G. H. Vineyard,Interscience Publishers,1957,,,Solid State Physics; Radiation; Material Physics; Crystalography,Ex-Libris,,Y
539,Modern Atomic Physics: Fundamental Principles,B. Cagnac; J.-C. Pebay Peyroula,The Macmillan Press,1971,,,Progress Reports In Atomic Physics; Quantum Mechanics; Particle Physics; Atomic Physics; Nuclear Physics; Wave Mechanics; Radiation,T. Nevin,,Y
539.55,The Physics Of Elementary Particles,J. D. Jackson,Princeton University Press,1958,,,High Energy Physics; Particle Physics; Radiation; Quantum Mechanics,Ex-Libris,,Y
539,Boltzmanns Distribution Law,E. A. Guggenheim,North-Holland Publishing Co.,1955,,,Progress Reports In Atomic Physics; Quantum ; Quantum Mechanics; Chemistry,Ex-Libris,,Y
538.5,Electric Conduction In Semiconductors And Metals,W. Ehrenberg,Oxford University Press,1958,,,Solid State Physics; Material Physics; Crystalography; Transistor Theory; Semiconductor Electronics; Semiconductor Theory,Ex-Libris,,Y
539.8,Introduction To Quantum Mechanics,Robert H. Dicke; James P. Wittke,Addison-Weslley Publishing Co.,1966,2,,Quantum Mechanics; Particle Physics; Mathematics; Wave Mechanics,,,Y
539.8,Quantum Mechanics,Sin-Itiro Tomonaga,North-Holland Publishing Co.,1962,,,Quantum Mechanics; Classical Mechanics; Matrix Mechanics; Atomic Physics,Ex-Libris,,Y
539.8,Quanta (World University Library), J.Andrade Silva; Georges Lochak, Littlehampton Book Services Ltd,1969,,,Quantum Mechanics; Wave Mechanics,,,Y
539.8,Elementary Particle Physics And Field Theory,T. Fulton; G. Kallen; J. D. Jackson; C. Fronsdal,W. A. Benjamin Inc.,1963,,,Quantum Mechanics; Particle Physics; Field Theory; Group Theory,Ex-Libris,,Y
539.8,Sources Of Quantum Mechanics,B. L. Van Der Waerden,Dover Publications,1968,,,Quantum Mechanics; People Of Physics,Ex-Libris,,Y
539.8,Reactor Noise: Smorn Three (Progress in Nuclear Energy) (No. 3), M. M. R. Williams, Pergamon Pr,1982,,9,Quantum Mechanics; Research Papers; Nuclear Physics; Nuclear Reactor Physics; Nuclear Safety,,,Y
538.22,"Course of Theoretical Physics, Volume 2, Volume 2, Fourth Edition: The Classical Theory of Fields", M. Hamermesh; L D Landau, Pergamon,1980, 4,2,Electrodynamics; Relativity; Electromagnetism; Electromagnetic Radiation; Cosmology; Gravitational Waves,,,Y
539.8,Quantum Mechanics,Albert Messiah,North-Holland Publishing Co.,1961,,1,Quantum Mechanics; Mathematics; Wave Mechanics; Schrodingers Equation; Material Physics; Scattering; Matter Waves; Early Quantum Mechanics,Ex-Libris,,Y
,Quantum Mechanics: An Introduction (Unwin University Books), John Taylor, Allen & Unwin,1970,,,Quantum Mechanics; Early Quantum Mechanics; Wave Mechanics; Atomic Physics; Scattering Theory,D. M. Duggan,,Y
539.8,Introduction To Quantum Field Theory,F. Mandl,Interscience Publishers,1959,,,Quantum Mechanics; Quantum Field Theory; Scattering Theory; Particle Physics,Tokarski,,Y
539.8,Quantum Mechanics,A. S. Davydov,Pergamon Press,1965,,,Quantum Mechanics; Particle Physics; Schrodingers Equation; Wave Mechanics; Group Theory; Quantum Field Theory; Scattering Theory; Solid State Physics,Ex-Libris,,
539.8,Introduction To Quantum Mechanics,P. T. Matthews,Mcgraw-Hill Publishing Co.,1963,,,Quantum Mechanics; Early Quantum Mechanics; Operators; Harmonic Oscillator; Atomic Physics; Nuclear Physics; Scattering Theory; General Theory,,,Y
539.8,The Quantum Theory Of Radiation,W. Heitler,Oxford University Press,1954,3,,Quantum Mechanics; Radiation; Wave Mechanics; Atomic Physics; Nuclear Physics; Electromagnetism; Electromagnetic Radiation; High Energy Physics,Ex-Libris,,Y
539.8,Quantum Mechanics,F. Mandl,Butterworths Scientific Publications,1957,2,,Quantum Mechanics; Mathematics; Wave Mechanics; Matrix Mechanics; Atomic Physics; Scattering Theory; Group Theory; Relativity,Baym Handan,,Y
539.8,Quamtum Mechanics,Sin-Itiro Tomonaga,North-Holland Publishing Co.,1966,,2,Quantum Mechanics; Wave Mechanics; Schrodingers Equation; Particle Physics; Atomic Physics,Ex-Libris,,Y
539.8,Introductory Quantum Mechanics,Vladimir Rojansky,Prentice-Hall,1960,10,,Quantum Mechanics; Mathematics; Classical Mechanics; Schrodingers Equation,Ex-Libris,,Y
539.8,Quantum Theory Of Matter,John C. Slater,Mcgraw-Hill Publishing Co.,1953,,,Quantum Mechanics; Wave Mechanics; Schrodingers Equation; Atomic Physics; Radiation; Material Physics; Electromagnetism,L. Jacob,,Y
,Intermediate Quantum Mechanics,Hans A. Bethe,W. A. Benjamin Inc.,1964,,,Quantum Mechanics; Atomic Physics; Schrodingers Equation; Relativity; Field Theory; Quantum Field Theory,Ex-Libris,,Y
539.8,Elements Of Advanced Quantum Theory,J. M. Ziman,Cambridge University Press,1969,,,Quantum Mechanics; Particle Physics; Wave Mechanics; Harmonic Oscillator; Relativity; Mathematics,Ex-Libris,,Y
539.8,Relatavistic Electron Theory,M. E. Rose,John Wiley & Sons,1961,,,Quantum Mechanics; Relativity; Particle Physics; Wave Mechanics,Ex-Libris,,Y
539.8,Quantum Mechanics,Robert H. Dicke; James P. Wittke,Addison-Weslley Publishing Co.,1980,9,,Quantum Mechanics; Wave Mechanics; Schrodingers Equation; Classical Mechanics; Atomic Physics; Matrix Mechanics; Mathematics; Scattering Theory,S. Steel,,Y
539.8,Dispersion Relations And Causal Description ,Jan Hilgevoord,North-Holland Publishing Co.,1960,,,Quantum Mechanics; Scattering Theory; Quantum Field Theory; Wave Mechanics,Ex-Libris,,Y
539.8,Quantum Mechanics,George L. Trigg,D. Van Nostrand Co.,1964,,,Quantum Mechanics; Mathematics; Quantum Dynamics; Schrodingers Equation; Relativity; Field Theory; Quantum Field Theory,Ex-Libris,,Y
539.8,Relativistic Quantum Mechanics, I.J.R. Aitchison, Macmillan,1972,,,Quantum Mechanics; Relativity; Non-Relatavistic Quantum Mechanics; Schrodingers Equation; Scattering Theory; Atomic Physics; Particle Physics,Ex-Libris,,Y
539.8,"Classical Mechanics, Quantum Mechanics And Field Theory",Amnon Katz,Academic Press,1965,,,Quantum Mechanics; Classical Mechanics; Particle Physics; Relativity; Atomic Physics,Ex-Libris,,Y
539.7,The Use Of X-Ray Diffraction In The Study Of Protein And Nucleic Acid Structue,K. C. Holmes; D. M. Blow,Interscience Publishers,1966,,,X-Rays And Particle Diffraction; Optics; Crystalography; Electromagnetic Radiation; Biological Physics; Boiology,L. Jacob,,Y
539.8,The Principles Of Quantum Mechanics,P. A. M. Dirac,Oxford University Press,1974,4,,Quantum Mechanics; Schrodingers Equation; Particle Physics; Superposition; Scattering Theory; Radiation; Relativity,D. M. Duggan ,,Y
539.8,The Quantum Theory Of Radiation,W. Heitler,Oxford University Press,1936,,,Quantum Mechanics; Radiation; Quantum Field Theory; Material Physics; High Energy Physics,Ex-Libris,,Y
,Elementary Quantum Mechanics, Nevill F. Mott, Taylor & Francis Ltd,1972,,,Quantum Mechanics; Early Quantum Mechanics; Radiation; Schrodingers Equation; Wave Mechanics; Atomic Physics,Ex-Libris,,Y
539.8,The Mechanics Of The Atom,Max Born,G. Bell And Sons,1927,,,Quantum Mechanics; Schrodingers Equation; Mathematics; Classical Mechanics,Ex-Libris,,Y
539.8,Elements of Mechanics, David Williams, Oxford University Press,1997,,,Quantum Mechanics; Classical Mechanics,,,
539.8,Quantum Chemistry, Ira N. Levine, Prentice Hall College Div,1991, 4,,Quantum Mechanics; Schrodingers Equation; Atomic Physics; Nuclear Physics; Perturbation Theory; Molecular Physics,,,Y
539.8,Advanced Quantum Mechanics,F. J. Dyson,Cornell University,1951,2,,Quantum Mechanics; Quantum Field Theory; Scattering Theory; Quantum Field Theory,,,Y
539.8,Quantum Particle Dynamics,J. Mcconnell,North-Holland Publishing Co.,1960,,,Quantum Mechanics; Relativity; Schrodingers Equation; Wave Mechanics; Atomic Physics; Scattering Theory; Nuclear Physics,,,Y
539.8,Quantum Mechanics,F. Mandl,Butterworths Scientific Publications,1954,,,Quantum Mechanics; Wave Mechanics; Schrodingers Equation; Mathematics; Matrix Mechanics; Perturbation Theory; Scattering Theory; Group Theory,,,Y
539.8,Introductory Quantum Mechanics,V. Rojansky,Blackie And Sons Ltd.,1939,,,Quantum Mechanics; Mathematics; Classical Mechanics; Schrodingers Equation; Operators,Ex-Libris,,Y
539.8,A Guide To Feynman Diagrams In The Many-Body Problem,Richard D. Mattuck,Mcgraw-Hill Publishing Co.,1967,,,Quantum Mechanics; Feynman Diagrams; Particle Physics; Operators,Ex-Libris,,Y
539.8,Selected Topics in Field Quantization (Vol. 6 of Pauli Lectures on Physics), Wolfgang Pauli, MIT Press,1973, 1ST,6,Quantum Mechanics; Quantum Electrodynamics; Atomic Physics; Matrix Mechanics,,,Y
539.8,Quantum Mechanics,D. I. Blokhintsev,D. Reidel Publishing Co.,1964,,,Quantum Mechanics; Perturbation Theory; Quantum Dynamics; Field Theory,,,Y
539.8,Elementary Quantum Mechanics,R. W. Gurney,Cambridge University Press,1934,,,Quantum Mechanics; Wave Mechanics; Particle Physics; Perturbation Theory; Atomic Physics,Ex-Libris,,Y
539.8,Notes On The Quantum Theory Of Angular Momentum,Eugene Feenberg; George Edward Park,Stanford University Press,1953,,,Quantum Mechanics; Matrix Mechanics; Nuclear Physics; Atomic Physics,Ex-Libris,,Y
539.8,Relativistic Electron Theory,M. E. Rose,John Wiley & Sons,1961,,,Quantum Mechanics; Non-Relatavistic Quantum Mechanics; Relatavistic Quantum Mechanics; Electromagnetism; Particle Physics,,,Y
539.8,Microcomputer Quantum Mechanics, John Killingbeck, CRC Press,1985, 2 Sub,,Quantum Mechanics; Computational Physics; Matrix Mechanics,,,
539.8,Quantum Mechanics,L. D. Landau; E. M. Lifshitz,Pergamon Press,1958,,,Quantum Mechanics; Schrodingers Equation; Early Quantum Mechanics; Atomic Physics; Perturbation Theory; Molecular Physics; Mathematics,Ex-Libris,,Y
539.8,Classical Mechanics,D. E. Rutherford,Oliver And Boyd,1957,2,,Quantum Mechanics; Classical Mechanics; Generalised Co-Ordinates,Ex-Libris,,Y
539.8,Elementary Quantum Field Theory,Ernest M. Henley; Walter Thirring,Mcgraw-Hill Publishing Co.,1962,,,Quantum Mechanics; Quantum Field Theory; Harmonic Oscillator; Particle Physics; Nuclear Physics; Atomic Physics,,,Y
539.8,Quantum Chemistry (The Allyn and Bacon chemistry series), Ira N. Levine, Longman Higher Education,1983, 3rd,,Quantum Mechanics; Schrodingers Equation; Operators; Harmonic Oscillator; Atomic Physics; Perturbation Theory,,,Y
539.8,Aspects Of Quantum Theory,Abdus Salam; E. P. Wigner,Cambridge University Press,1972,,,Quantum Mechanics; Early Quantum Mechanics; Quantum Field Theory; Dirac Notation,Ex-Libris,,Y
539.8,The Self-Consistant Field For Molecules And Solids,John C. Slater,Mcgraw-Hill Publishing Co.,1974,,4,Quantum Mechanics; Material Physics; Crystalography; Chemistry; Wave Mechanics,Ex-Libris,,Y
539.8,Principles Of Quantum Mechanics,William V. Houston,Mcgraw-Hill Publishing Co.,1951,,,Quantum Mechanics; Early Quantum Mechanics; Spectroscopy; Scattering Theory; Electromagnetic Radiation,Ex-Libris,,Y
539.8,Radiation And Noise In Quantum Electronics,William H. Louisell,Mcgraw-Hill Publishing Co.,1964,,,Quantum Mechanics; Dirac Notation; Schrodingers Equation; Operators; Electromagnetism; Radiation; Quantum Statistics,Ex-Libris,,Y
539.8,Quantum Chemistry,Henery Eyring; John Walter; George E. Kimball,John Wiley & Sons,1949,5,,Quantum Mechanics; Early Quantum Mechanics; Classical Mechanics; Schrodingers Equation; Atomic Physics; Perturbation Theory; Group Theory; Spectroscopy; Quantum Statistics,Ex-Libris,,Y
539.8,Quantum Mechanics And Path Integrals,R. P. Feynman; A. R. Hibbs,Mcgraw-Hill Publishing Co.,1965,,,Quantum Mechanics; Schrodingers Equation; Operators; Perturbation Theory; Harmonic Oscillator; Quantum Electrodynamics; Statistical Mechanics,Ex-Libris,,Y
539.85,Elementary Wave Mechanics,W. Heitler,Oxford University Press,1958,2,,Wave Mechanics; Quantum Mechanics; Quantum Chemistry; Atomic Physics; Perturbation Theory; Molecular Physics; Chemistry,Michael Hoey,,Y
539.9,"The Evolution of Relativity,", Christopher Ray, CRC Press,1987, First,,Theory Of Relativity; General Relativity; Classical Relativity; Quantum Relativity,,,Y
,Special Relativity,A. Shadowitz,W. B. Saunders Co.,1968,,,Special Relativity; Lorentz Trnasformations; Electricity; Electromagnetism,Ex-Libris,,Y
539.9,Time And Space Weight And Inertia,A. D. Fokker,Pergamon Press,1965,,,Theory Of Relativity; Chronogeometry; Lorentz Trnasformations; Metric Tensors; Dynamical Tensors,Ex-Libris,,Y
537,Physics Problems: Mechanics and Heat (Self-Teaching Guides), Robert L. Gray, John Wiley & Sons Inc.,1974,,,Heat; Classical Mechanics; Thermodynamics; Oscillations,Ex-Libris,,Y
539.85,Wave Mechanics And Its Applications,N. F. Mott; I. N. Sneddon,Oxford University Press,1948,1,,Wave Mechanics; Quantum ; Quantum Mechanics; Schrodingers Equation; Electromagnetism; Atomic Physics; Material Physics; Scattering Theory; Radiation; Relatavistic Quantum Mechanics; Matrix Mechanics,L. Jacob,,Y
539.8,Advanced Quantum Mechanics,J. J. Sakurai,Addison-Weslley Publishing Co.,1967,,,Quantum Mechanics; Radiation; Relatavistic Quantum Mechanics; Particle Physics; Perturbation Theory,Ex-Libris,,Y
539.9,Spacetime and Geometry: An Introduction to General Relativity, Sean Carroll, Addison-Wesley,2003,,,Theory Of Relativity; Special Relativity; Space-Time Curvature; Black-Hole Physics; Perturbation Theory; Cosmology; Quantum Field Theory; Gravitation,,,Y
539.85,Waves And Oscillations,R. A. Waldron,D. Van Nostrand Co.,1964,,,Wave Mechanics; Oscillations; Network Theory; Optics,L. Jacob,,
538.22,Foundations of Physics, Robert B. Lindsay, Ox Bow Pr,1981,,,Electrodynamics; Space-Time Physics; Classical ; Classical Mechanics; Statistics; Special Relativity; Quantum Mechanics; General Relativity,,,Y
539.9,Relativity Physics,W. H. Mccrea,Meuthuen And Co.,1954,4,,Theory Of Relativity; Special Relativity; Lorentz Trnasformations; Optics; Electromagnetism; Atomic Physics; Thermodynamics,,,Y
539.8,Molecular Quantum Mechanics: An Introduction to Quantum Chemistry; Vol. I, P. W. Atkins, Oxford University Press,1982, Reprint,,Quantum Mechanics; Schrodingers Equation; Operators; Group Theory; Atomic Physics; Matrix Mechanics; Perturbation Theory,,,Y
539.9,Introduction To The Quantum Theory Of Scattering,Leonard S. Rodberg; R. M. Thaler,Academic Press,1967,,,Theory Of Relativity; Greens Function; Scattering Theory; Schrodingers Equation; Atomic Physics,Ex-Libris,,Y
540,Radiotherapy in Cancer Management: A Practical Manual, G.P Janson, CRC Press,1998,,,Medical Physics; Biology; Human Anatomy; Radiotheripy,,,Y
539.8,Angular Momentum,D. M. Brink; G. R. Satchler,Clarendon Press,1962,,,Quantum Mechanics; Tensors; Matrix Mechanics,Ex-Libris,,Y
539.85,Elements Of Wave Mechanics,N. F. Mott,Cambridge University Press,1952,,,Wave Mechanics; Quantum Mechanics; Schrodingers Equation; Many-Body Problems; Relativity; Nuclear Physics,Ex-Libris,,Y
539.85,The Physical Principles Of Wave Guide Transmission And Antenna Systems,W. H. Watson,Oxford University Press,1947,,,Wave Mechanics; Electromagnetic Radiation; Electronics,N. A. Porter,,Y
539.85,Waves: A Mathmatical Account Of The Common Types Of Wave Motion,C. A. Coulson,Oliver And Boyd,1941,,,Wave Mechanics; Electricity; Classical Mechanics,Louis Jacob,,Y
538.5,Solid State Physics, Neil W. Ashcroft, Harcourt School,1987, International edition,,Solid State Physics; Material Physics; Crystalography; Electromagnetic Radiation; Classical Mechanics; Particle Physics,,,Y
538.5,The Modern Theory Of Solids,Frederick Seitz,Mcgraw-Hill Publishing Co.,1940,1,,Solid State Physics; Crystalography; Material Physics; Semiconductor Theory; Quantum Mechanics; Many-Body Problems; Nuclear ; Nuclear Physics,Ex-Libris,,Y
539.1,"Radiation Detection and Measurement, 2nd Edition", Glenn F. Knoll, Wiley,1989, 2,,Reactor Physics And Radiation Hazards; Nuclear Physics; Radiation; Radiation Detectors; Scintillation Detectors; Semiconductor Electronics; Electromagnetic Radiation; Particle Detectors; Particle Physics,,The Cover Was Put On Upsidedown,Y
539.85,Wave Mechanics And Its Application,N. F. Mott; I. N. Sneddon,Oxford University Press,1948,,,Wave Mechanics; Schrodingers Equation; Wave Mechanics; Many-Body Problems; Atomic Physics; Material Physics; Scattering Theory; Chemistry; Relativity; Quantum Mechanics; Matrix Mechanics,Paul Allen,,Y
539.85,Wave Mechanics: Elementary Theory,J. Frenkel,Oxford University Press,1932,,,Wave Mechanics; Material Physics; Statistical Mechanics; Quantum Mechanics,Ex-Libris,,Y
539.85,The Wave Mechanics Of Free Electronics,G. P. Thomson,Mcgraw-Hill Publishing Co.,1930,,,Wave Mechanics; Quantum Mechanics; Atomic Physics; Crystalography,Ex-Libris,,Y
539.8,Relatavistic Wave Mechanics,E. Corinaldesi; F. Strocchi,North-Holland Publishing Co.,1963,,,Quantum Mechanics; Wave Mechanics; Particle Physics; Schrodingers Equation; Dirac Notation; Radiation; Scattering Theory,Ex-Libris,,Y
539.8,Quantum Mechanics,Alfred Lande,Sir Isaac Pitman And Sons Ltd.,1951,,,Quantum Mechanics; Wave Mechanics; Early Quantum Mechanics; Schrodingers Equation; Matrix Mechanics; Radiation; Pauli Spin Matricies; Quantum Statistics; Dirac Notation,,,Y
539.8,Quantum Mechanics, Alastair I. M. Rae," McGraw-Hill Inc.,US",1981,,,Quantum Mechanics; Schrodingers Equation; Multi-Dimensional Schrodingers Equation; Wave Mechanics; Particle Physics; Many-Body Problems; Scattering Theory,,,Y
,The Quantum Theory Of The Atom,George Birtwistle,Cambridge University Press,1926,,,Quantum Mechanics; Early Quantum Mechanics; Nuclear ; Nuclear Physics; Atomic Physics; Relativity; Zeeman Effect,Ex-Libris,,Y
539.8,Quantum Mechanics Of Particles And Wave Fields,Arthur March,John Wiley & Sons,1951,,,Quantum Mechanics; Wave Mechanics; Matrix Mechanics; Perturbation Theory; Many-Body Problems; Relatavistic Wave Mechanics; Quantum Electrodynamics; Nuclear Physics,Ex-Libris,,Y
